"Timestamp","Username","First author's surname","Year of publication","Which journal is the paper in?","Journal volume identifier","Issue number","Page range or article number","Is this paper about an agent-based model?","Is this paper about a model in the social sciences?","Does the model simulate an empirical, contemporary case study?","Does the paper provide any information about the spatial extent of the model?","What is the spatial extent simulated in the model?","What is the name given by the authors in the paper to the area simulated?","How is space represented in the model?","Does the paper say how many pixels, patches, cells and/or polygons?","Number of pixels, patches or cells","Number of polygons, lines, points or 'features'","How many time steps are in the model?","What sort of time scale do the time steps represent?","Which social entities are represented as agents in the model?","How many agents are simulated in the model?","Units of the number of agents","How many of the above 'units' are there in the real case study?","How many runs of the model do the authors report having done?","Do the authors provide any information about the computing equipment they used?","What computing equipment was used?","Does the paper discuss any practical limitations on their work that might be fixed by access to more computing power?","When describing or discussing the model, which of the following phrases (or similar) were used to suggest pragmatic constraints on the work?","When discussing the model's limitations or any future work, which of the following are mentioned in a way that suggests a superior study would have done them if feasible?","Interesting?"
"2024/08/13 10:45:24 am CET","Gary","Rosales","2019","Smart Innovation, Systems and Technologies","96","","275-283","I cannot be sure from reading the paper","Yes","Yes","Yes","","Tijuana, Mexico","Not a spatially explicit model","N/A","","","","","Humans;Organizations (businesses, NGOs, etc.)","1","Humans","","","No","","Maybe","","more complicated decision making algorithms",""
"2024/08/13 10:58:09 am CET","Gary","Alisoltani","2023","Smart Innovation, Systems and Technologies","354","","119-128","Yes","Yes","Yes","Yes","City","Lyon, France","Other","N/A","","","","","Humans;Human-Operated Machines;Organizations (businesses, NGOs, etc.)","1000","Human-Operated Machines","","","No","","No","","more scenarios",""
"2024/08/13 11:49:55 am CET","Richard","Khademi","2018","Smart Innovation, Systems and Technologies","93","","43-58","Yes","Yes","Yes","Yes","City","Los Angeles County","Paper does not say","No","","","","","Humans","10000","Humans","9818605","100","No","","Maybe","to save computing time;to save memory;due to limitations in both the implementation and the network generator","including other social processes;including new classes of agent",""
"2024/08/13 2:09:22 pm CET","Gary","Goudet","2017","Computational Economics","50","","21-68","Yes","Yes","Yes","Yes","Nation","France","Not a spatially explicit model","N/A","","","","","Humans;Organizations (businesses, NGOs, etc.)","8713","Humans","40790000","400","No","","Yes","to save computing power","including other social processes",""
"2024/08/13 2:25:43 pm CET","Gary","Berger","2006","Agricultural Systems","88","","28-43","Yes","Yes","Yes","Yes","Multiple Counties or Region","Iganga, Uganda and Melado River Catchment, Chile","Paper does not say","No","","","","","Households","","","","","No","","No","","",""
"2024/08/13 2:26:14 pm CET","Richard"," Rosales","2019","Smart Innovation, Systems and Technologies","","","275-283","Yes","Yes","Yes","Yes","County or Municipality","Tijuana Mexico","Not a spatially explicit model","N/A","","","","","Humans;Organizations (businesses, NGOs, etc.)","","","4700000","","No","","No","","more agents;more complicated decision making algorithms",""
"2024/08/13 2:45:12 pm CET","Gary","Zheng","2013","Agricultural Systems","122","","60-72","Yes","Yes","Yes","Yes","County or Municipality","Zhongjiang, Sichuan, China","Paper does not say","No","","","","","Households","20056","Households","140392","","No","","Yes","to save computing time;to save memory","including other social processes;changes in attributes of agents",""
"2024/08/13 3:10:22 pm CET","Richard","Alisoltani","2020","Smart Innovation, Systems and Technologies","186","","199-207","Yes","Yes","Yes","Yes","City","Lyon France 80KM^2","Vector (polygons, lines, points)","Yes","","27000","","","Human-Operated Machines","480000","Humans","480000","","No","","No","","",""
"2024/08/13 3:27:27 pm CET","Alison","Saqalli","2010","Journal of Artificial Societies and Social Simulation","13","2","n/a","Yes","Yes","Yes","Yes","County or Municipality","""canton"" of Dantiandou, Niger","Raster (cells, pixels, patches)","Yes","10000","","","","Humans;Households","50","Humans","50","120","No","","No","","including other social processes;More data",""
"2024/08/13 3:55:09 pm CET","Gary","Guillem","2015","Agricultural Systems","137","","12-23","Yes","Yes","Yes","Yes","Catchment of a River Basin","Lunan, Tayside, Scotland 132km^2","Vector (polygons, lines, points)","Yes","","1590","","","Organizations (businesses, NGOs, etc.)","","Organizations","115","40","No","","No","","larger spatial extent;more complicated decision making algorithms;more environmental dynamics;including other social processes",""
"2024/08/13 6:15:26 pm CET","Gary","Mejia","2018","Agricultural Systems","160","","132-142","Yes","Yes","Yes","Yes","Multiple Counties or Region","Cundinamarca, Colombia (30,000 Ha)","Other","N/A","","","","","Organizations (businesses, NGOs, etc.);Municipal/Local Governments","1377","Organizations","","4050","No","","No","","more complicated decision making algorithms;including other social processes",""
"2024/08/14 9:40:33 am CET","Doug","Mehdi Saqalli","2013","Agricultural Systems","104","4","354-364","Yes","Yes","Yes","Yes","Village","Zermou, Gabi, Fakara","Raster (cells, pixels, patches)","No","","","","","Humans","50","Humans","","","","","No","","",""
"2024/08/14 9:56:13 am CET","Gary","Schmidt","2021","Agricultural Systems","194","","103271","I cannot be sure from reading the paper","Yes","Yes","No","Nation","Switzerland","Paper does not say","N/A","","","","","Organizations (businesses, NGOs, etc.)","9","Organizations","3100","482000","No","","Yes","to save computing time","more environmental dynamics;including other social processes",""
"2024/08/14 10:25:47 am CET","Doug","Guillem","2015","Agricultural Systems","137","","12-23","Yes","Yes","Yes","Yes","Multiple Counties or Region","","","","","","","","Humans","","Humans","","","","","","","",""
"2024/08/14 10:59:18 am CET","Gary","Crooks","2013","Computers, Environment and Urban Systems","41","","100-111","Yes","Yes","Yes","Yes","County or Municipality","Port-au-Prince, Republic of Haiti (48km^2)","Mix of Raster and Vector","Yes","4800","","","","Humans;Organizations (businesses, NGOs, etc.)","1300000","Humans","","177","No","","","","more complicated decision making algorithms;more data",""
"2024/08/14 11:17:45 am CET","Gary","Orsi","2016","Computers, Environment and Urban Systems","60","","12-22","Yes","Yes","Yes","Yes","Multiple Counties or Region","Catinaccio-Rosengarten Italy (7000 Ha)","Vector (polygons, lines, points)","No","","","","","Humans;Human-Operated Machines","2000","Humans","2000","838","No","","","to save computing time;to save disk space","more runs of the model;more data",""
"2024/08/14 11:37:18 am CET","Gary","Pires","2017","Computers, Environment and Urban Systems","61","","66-80","Yes","Yes","Yes","Yes","City","Kibera, Kenya (5.85km^2)","Mix of Raster and Vector","Yes","37440","","","","Humans;Households;Organizations (businesses, NGOs, etc.)","235000","Humans","270000","","No","","No","lack of data","including other social processes",""
"2024/08/14 11:50:13 am CET","Gary","Ge","2017","Computers, Environment and Urban Systems","62","","182-198","Yes","Yes","No","N/A (This paper should be excluded)","City","","Raster (cells, pixels, patches)","Yes","25","","","","Humans;Organizations (businesses, NGOs, etc.)","","","","2640","No","","Yes","to save computing time","more fine-grained spatial representation;including other social processes",""
"2024/08/14 12:14:37 pm CET","Gary","Basak","2017","Computers, Environment and Urban Systems","64","","118-131","Yes","Yes","Yes","Yes","","Grand Road, Puri, Odisha, India (5973m^2)","Raster (cells, pixels, patches)","Yes","57600","","","","Humans","8592","Humans","","80","No","","Maybe","","more environmental dynamics;including other social processes",""
"2024/08/14 12:22:21 pm CET","Doug","Mejia","2018","Agricultural Systems","160","","132-142","Yes","Yes","Yes","No","County or Municipality","","","No","","","","","Organizations (businesses, NGOs, etc.)","1836","Organizations","","200","No","","No","","",""
"2024/08/14 12:23:28 pm CET","Richard","Alisoltani","2023","Smart Innovation, Systems and Technologies","354","","119-128","Yes","Yes","Yes","Yes","City","Lyon, France","Vector (polygons, lines, points)","","","205308","","","Human-Operated Machines","484690","Human-Operated Machines","484690","","No","","No","","",""
"2024/08/14 12:35:27 pm CET","Gary","Ardestani","2018","Computers, Environment and Urban Systems","69","","1-16","Yes","Yes","Yes","Yes","County or Municipality","Auckland, New Zealand","Vector (polygons, lines, points)","Yes","","316","","","Humans","","","847113","40","No","","Maybe","lack of data","more runs of the model;more complicated decision making algorithms;more data",""
"2024/08/14 12:52:59 pm CET","Gary","Yang","2019","Computers, Environment and Urban Systems","74","","13-22","Yes","Yes","Yes","Yes","County or Municipality","Florida Keys, USA","Mix of Raster and Vector","","","","","","Humans;Households","79547","Humans","79547","400","No","","","lack of data","more scenarios",""
"2024/08/14 12:57:01 pm CET","Richard","Goudet","2016","Computational Economics","50","","21-68","Yes","Yes","Yes","Yes","City","France 2011","Not a spatially explicit model","","","","","","Humans;Organizations (businesses, NGOs, etc.);National Governments","10000","Humans","47000000","200","No","","No","","more complicated decision making algorithms",""
"2024/08/14 1:46:33 pm CET","Doug","Kaye-Blake","2019","Agricultural Systems","173","","458-468","Yes","Yes","Yes","Yes","County or Municipality","Southland, New Zealand","Paper does not say","No","","","","","Humans","","Humans","","","No","","No","","",""
"2024/08/14 2:46:47 pm CET","Doug","Jordan","2014","Computers, Environment and Urban Systems","48","","49-63","Yes","Yes","Yes","Yes","Multiple Counties or Region","East and South East Leeds, UK","Paper does not say","No","","","","","Households","35729","Households","35729","","No","","No","","",""
"2024/08/15 8:52:01 am CET","Doug","Orsi","2016","Computers, Environment and Urban Systems","60","","12-22","Yes","No","Yes","Yes","County or Municipality","Province of Trento and Province of Bolzano","Paper does not say","No","","","","","Humans","2000","Humans","","818","No","","","","",""
"2024/08/15 9:11:45 am CET","Doug","Pires","2017","Computers, Environment and Urban Systems","61","A","66-80","Yes","Yes","Yes","Yes","Town","Kibera, Nairobi","Paper does not say","No","","","","","Humans;Households;Organizations (businesses, NGOs, etc.)","235000","Humans","235000","","No","","","","",""
"2024/08/15 9:29:41 am CET","Gary","Tomasiello","2020","Computers, Environment and Urban Systems","81","","101462","Yes","Yes","Yes","Yes","County or Municipality","Sao Paolo, Brazil","Raster (cells, pixels, patches)","No","","","","","Humans","15008","Humans","3001600","1344","No","","Yes","to save computing time","more fine-grained spatial representation;including other social processes;including new classes of agent",""
"2024/08/15 10:11:17 am CET","Doug","Ge","2016","Computers, Environment and Urban Systems","62","","182-198","Yes","Yes","No","N/A (This paper should be excluded)","Town","","Raster (cells, pixels, patches)","No","","25","","","Humans;Organizations (businesses, NGOs, etc.)","","","","20","No","","Yes","for the sake of simplicity;to save computing time","more agents;less aggregated agents (e.g. simulating people not households);larger spatial extent;more complicated decision making algorithms",""
"2024/08/15 10:22:41 am CET","Ric","Saqalli","2010","Journal of Artificial Societies and Social Simulation","13","(2)","na","Yes","Yes","Yes","Yes","County or Municipality","Dantiandou Niger","Raster (cells, pixels, patches)","Yes","10000","","","","Humans;Households","50","Humans","","125","No","","Yes","data","",""
"2024/08/15 10:25:08 am CET","Gary","Monteiro","2021","Computers, Environment and Urban Systems","87","","101623","I cannot be sure from reading the paper","Yes","Yes","Yes","City","Sao Paolo, Brazil","Vector (polygons, lines, points)","No","","","","","Humans;Human-Operated Machines;Organizations (businesses, NGOs, etc.)","500","Humans","","","Yes","Personal computer (desktop/laptop)","Maybe","to save computing time","including other social processes",""
"2024/08/15 10:53:31 am CET","Ric","Srbljinovic","2003","Journal of Artificial Societies and Social Simulation","6","1","","Yes","Yes","No","No","","","Not a spatially explicit model","","","","","","Humans","200","Humans","","1000","Yes","Personal computer (desktop/laptop)","No","","",""
