doi,n.scopus,n.wos,n.unmerged
"10.1007/s00521-022-07391-2",1,1,1
"10.17533/udea.redin.n90a10",1,1,1
"10.7551/978-0-262-33027-5-ch050",1,1,1
"10.1002/sres.2293",1,1,1
"10.1007/s12080-016-0324-x",1,1,1
"10.1577/1548-8446(2007)32[292:efcweo]2.0.co;2",1,1,1
"10.1098/rsif.2022.0124",1,1,1
"10.1007/978-3-319-50880-1_17",1,1,1
"10.1016/j.envsoft.2017.01.020",1,1,1
"10.3390/inventions4030037",1,1,1
"10.1111/j.1475-4991.2008.00281.x",1,1,1
"10.1016/j.eswa.2008.06.125",1,1,1
"10.1108/14637151011076502",1,1,1
"10.3138/cpp.2013-009",1,1,1
"10.1080/00207540500445289",1,1,1
"10.1109/southeastcon42311.2019.9020532",1,1,1
"10.1016/j.simpat.2010.06.016",1,1,1
"10.1016/j.automatica.2022.110527",1,1,1
"10.1016/j.enpol.2008.02.040",2,0,0
"10.1016/j.energy.2021.121235",1,1,1
"10.1142/s0129183108012121",1,1,1
"10.1111/j.1365-2664.2011.02072.x",1,1,1
"10.1016/j.anbehav.2009.02.023",1,1,1
"10.1016/j.frl.2023.104085",1,1,1
"10.1017/s0269888906000932",1,1,1
"10.1017/aer.2020.82",1,1,1
"10.1007/978-3-319-78301-7_5",1,1,1
"10.1016/j.procs.2016.09.300",1,1,1
"10.1016/j.eswa.2015.12.021",1,1,1
"10.1115/1.4032773",2,0,0
"10.1007/s12237-017-0266-6",1,1,1
"10.1016/j.ifacol.2015.06.195",1,1,1
"10.1371/journal.pone.0101240",1,1,1
"10.1016/j.ifacol.2017.08.1433",1,1,1
"10.1007/s10708-014-9592-4",1,1,1
"10.1016/j.ecolmodel.2004.01.015",1,1,1
"10.1109/tac.2009.2017963",1,1,1
"10.1142/s0219525918500030",1,1,1
"10.1016/j.neucom.2023.126529",1,1,1
"10.1109/lcsys.2017.2722980",1,1,1
"10.1145/3520304.3528790",1,1,1
"10.1016/j.robot.2021.103848",1,1,1
"10.3390/f12070955",1,1,1
"10.1034/j.1600-0633.2001.100106.x",1,1,1
"10.1097/phh.0000000000001172",1,1,1
"10.1049/iet-cta.2014.0533",1,1,1
"10.1016/j.jtbi.2005.01.006",1,1,1
"10.1016/j.simpat.2005.10.002",1,1,1
"10.3390/en15186826",1,1,1
"10.1142/s0219525907000970",1,1,1
"10.1139/cjce-2014-0363",1,1,1
"10.1080/14616688.2016.1169312",1,1,1
"10.1016/j.ins.2021.09.013",1,1,1
"10.1016/j.tpb.2021.02.001",1,1,1
"10.20965/jaciii.2013.p0252",1,1,1
"10.1371/journal.pone.0127806",1,1,1
"10.1177/0361198119850785",1,1,1
"10.3354/meps10497",1,1,1
"10.1109/access.2021.3104470",1,1,1
"10.3390/ijerph17062154",1,1,1
"10.1007/s00366-019-00926-7",1,1,1
"10.1016/j.resconrec.2014.07.002",1,1,1
"10.5018/economics-ejournal.ja.2020-3",1,1,1
"10.1007/s11403-008-0037-3",1,1,1
"10.1016/j.jtbi.2011.05.012",1,1,1
"10.1007/s10846-020-01294-x",1,1,1
"10.1007/s11229-013-0257-5",1,1,1
"10.1111/j.1541-0072.1997.tb00003.x",1,1,1
"10.1007/s00138-013-0520-2",1,1,1
"10.3390/drones7040236",1,1,1
"10.1016/j.procs.2012.09.083",1,1,1
"10.1108/03684920810907508",1,1,1
"10.1016/j.ecolmodel.2010.06.019",1,1,1
"10.1007/978-3-031-17234-2_22",1,1,1
"10.1016/j.envsoft.2009.04.010",1,1,1
"10.1016/j.ecolmodel.2017.02.007",1,1,1
"10.24425/acs.2020.133503",1,1,1
"10.1088/1748-9326/ab6fbf",1,1,1
"10.1016/j.simpat.2010.05.010",1,1,1
"10.3389/fpsyg.2022.1010007",1,1,1
"10.1109/icmas.2000.858462",1,1,1
"10.1080/00207721.2019.1645917",1,1,1
"10.1007/s00170-007-0988-x",1,1,1
"10.1061/jtepbs.0000166",1,1,1
"10.1007/978-3-030-01129-1_7",1,1,1
"10.1109/ical.2007.4339014",1,1,1
"10.1016/j.biosystems.2008.11.001",1,1,1
"10.18564/jasss.4518",1,1,1
"10.1016/j.jebo.2022.05.025",1,1,1
"10.1111/j.1365-2745.2009.01541.x",1,1,1
"10.1111/ele.12923",1,1,1
"10.1002/cncr.32026",1,1,1
"10.1183/23120541.00174-2019",1,1,1
"10.1016/j.engappai.2022.105796",1,1,1
"10.1016/j.radonc.2006.07.024",1,1,1
"10.1016/j.aei.2021.101512",1,1,1
"10.1016/j.ecolmodel.2023.110445",1,1,1
"10.1007/978-3-030-37453-2_46",1,1,1
"10.1177/03611981221092385",1,1,1
"10.1016/j.ecocom.2018.06.002",1,1,1
"10.1016/j.ecolmodel.2009.06.016",1,1,1
"10.1109/tpwrs.2019.2942583",1,1,1
"10.1016/j.trb.2021.03.010",1,1,1
"10.1109/kimas.2007.369833",1,1,1
"10.1016/j.ecolmodel.2014.02.015",1,1,1
"10.1142/s0218202513500292",1,1,1
"10.3233/jae-2010-1208",1,1,1
"10.1007/s11071-019-05321-x",1,1,1
"10.1038/bjc.2013.198",1,1,1
"10.1017/s0025315410001268",1,1,1
"10.1007/s10439-007-9266-1",1,1,1
"10.1002/lrh2.10261",1,1,1
"10.1007/s10614-022-10316-9",1,1,1
"10.3390/electronics7020022",1,1,1
"10.1016/j.automatica.2016.06.024",1,1,1
"10.3390/plants12030555",1,1,1
"10.1016/j.enpol.2020.111274",1,1,1
"10.1177/0361198118790638",1,1,1
"10.1177/0361198118787387",1,1,1
"10.1155/2019/8084209",1,1,1
"10.1016/j.landurbplan.2018.01.006",1,1,1
"10.1016/j.eswa.2014.05.015",1,1,1
"10.1016/j.ins.2017.01.022",1,1,1
"10.1016/j.amepre.2020.08.023",1,1,1
"10.21136/am.2021.0341-19",1,1,1
"10.1002/acs.3479",1,1,1
"10.1098/rsos.211742",1,1,1
"10.1038/sj.hdy.6801032",1,1,1
"10.12759/hsr.43.2018.1.168-209",1,1,1
"10.17310/ntj.2007.3.16",1,1,1
"10.1016/j.comcom.2010.07.025",1,1,1
"10.1177/09691413231175056",1,1,1
"10.1186/s12913-016-1368-8",1,1,1
"10.3141/2537-18",1,1,1
"10.1109/tcns.2018.2834313",1,1,1
"10.1016/j.econmod.2011.03.025",1,1,1
"10.1177/09589287221115672",1,1,1
"10.1186/s12885-017-3075-1",1,1,1
"10.1016/j.ifacol.2018.11.685",1,1,1
"10.1093/jopart/muaa013",1,1,1
"10.1016/j.ecolmodel.2014.03.019",1,1,1
"10.1155/2020/1047369",1,1,1
"10.1088/1757-899x/322/5/052015",1,1,1
"10.1177/0308518x15592314",1,1,1
"10.1016/j.cie.2016.02.024",1,1,1
"10.3233/aic-140654",1,1,1
"10.3390/ijerph18158146",1,1,1
"10.1371/journal.pcbi.1000630",1,1,1
"10.1007/s00338-021-02187-7",1,1,1
"10.3390/computers12050094",1,1,1
"10.1016/j.jocs.2020.101173",1,1,1
"10.1007/978-3-319-39883-9_14",1,1,1
"10.1049/cmu2.12371",1,1,1
"10.1109/iscmi51676.2020.9311553",1,1,1
"10.1142/s0129183106008832",1,1,1
"10.1002/jia2.25085",1,1,1
"10.1007/s11424-019-8087-2",1,1,1
"10.1109/tac.2018.2867594",1,1,1
"10.1016/j.ins.2014.12.011",1,1,1
"10.1007/s10552-016-0732-7",1,1,1
"10.1016/j.agwat.2016.07.018",1,1,1
"10.4018/ijdsst.2015040101",1,1,1
"10.1002/cae.21587",1,1,1
"10.18564/jasss.2993",1,1,1
"10.1016/j.ins.2009.12.029",1,1,1
"10.1111/coin.12175",1,1,1
"10.1016/j.eswa.2014.10.032",1,1,1
"10.1016/j.procs.2018.04.027",1,1,1
"10.1007/bf03037252",1,1,1
"10.1016/j.jclepro.2021.128169",1,1,1
"10.1371/journal.pone.0242148",1,1,1
"10.1016/j.biosystems.2008.07.001",1,1,1
"10.1177/0898264317715976",1,1,1
"10.1017/s0263574703004946",1,1,1
"10.4054/demres.2013.29.27",1,1,1
"10.18564/jasss.3393",1,1,1
"10.3390/agronomy11010085",1,1,1
"10.1007/978-3-030-42517-3_3",1,1,1
"10.1136/tobaccocontrol-2019-055482",1,1,1
"10.1016/j.seares.2010.03.006",1,1,1
"10.1080/1406099x.2016.1205407",1,1,1
"10.1177/1729881417716088",1,1,1
"10.1017/s0890060418000161",1,1,1
"10.1007/978-3-319-57819-4_5",1,1,1
"10.1016/j.enbuild.2019.05.053",1,1,1
"10.1109/cloudcom.2014.136",1,1,1
"10.1007/s11066-006-9005-z",1,1,1
"10.1001/jama.2023.4800",1,1,1
"10.3390/land4030607",1,1,1
"10.1080/00207179.2012.715753",1,1,1
"10.1007/978-3-319-39387-2_35",1,1,1
"10.1371/journal.pone.0153820",1,1,1
"10.1007/s11424-010-9273-4",1,1,1
"10.1109/tii.2012.2210430",1,1,1
"10.1016/j.annals.2020.103034",1,1,1
"10.1016/j.tourman.2015.05.015",1,1,1
"10.1109/jsac.2021.3087248",1,1,1
"10.1109/mits.2018.2879166",1,1,1
"10.23919/springsim.2019.8732867",2,0,0
"10.1111/j.1475-4932.2007.00417.x",1,1,1
"10.1057/jos.2011.26",1,1,1
"10.2981/13-021",1,1,1
"10.1111/1755-0998.13682",1,1,1
"10.1155/2020/4752986",1,1,1
"10.1109/jsyst.2021.3062444",1,1,1
"10.1007/s10588-016-9238-9",1,1,1
"10.1371/journal.pcbi.1007344",1,1,1
"10.1007/978-3-319-99582-3_28",1,1,1
"10.3390/socsci11070311",1,1,1
"10.1080/14737167.2023.2197213",1,1,1
"10.1007/s10614-018-9798-5",1,1,1
"10.3390/su12114393",1,1,1
"10.3390/sym13040544",1,1,1
